CÓDIGO,CST 00,CST 02,CST 10,CST 15,CST 20,CST 30,CST 40,CST 41,CST 50,CST 51,CST 53,CST 60,CST 61,CST 70,CST 90,DATA INÍCIO,DATA FIM,DESCRIÇÃO,DESCRIÇÃO PARA NFA-e,OBSERVAÇÃO,Contagem de caracteres
RS051023,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,XXV -ZONA FRANCA DE MANAUS",ISENÇÃO - Saídas de produtos nacionais industrializados para comercialização/industrialização na Zona Franca de Manaus,,118
RS051024,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,XXVI -AREAS DE LIVRE COMERCIO",ISENÇÃO - Saídas de produtos nacionais industrializados para comercialização/industrialização em Áreas de Livre Comércio,,120
RS051025,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XXVII -OLEO LUBRIFIC USADO CONTAMINADOS",ISENÇÃO - Saídas de óleo lubrificante usado ou contaminado para estabelecimento re-refinador ou coletor revendedor,,114
RS051026,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XXVIII -EMBARCACOES","ISENÇÃO - Saídas de embarcações nacionais, fornecimento de peças/partes juntamente com serviços de reparo de embarcações",,120
RS051027,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XXIX -PROD P/CONSUM EM EMBARC/AERONAVES",ISENÇÃO - Saídas de produtos industrializados para uso/consumo de embarcações/aeronaves estrangeiras aportados no País,,118
RS051028,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XXX -COMBUSTIVEIS P/ EMBARC E AERONAVES",ISENÇÃO - Saídas de combustíveis/lubrificantes para embarcações/aeronaves nacionais com destino ao exterior,,107
RS051029,,,,,,SIM,SIM,SIM,,,,,,,,1102016,1102016,"LIVRO I,9,XXXI -PROGRAMAS DE COMPUTADOR",ISENÇÃO - Revogada,,18
RS051030,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XXXII -OBRAS DE E",ISENÇÃO - Saídas de obras de arte decorrentes de operações realizadas pelo próprio autor,,88
RS051031,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XXXVIII -MEDICAMENTOS P/ TRATAM DA AIDS",ISENÇÃO - Saídas de fármacos destinados à produção e de medicamentos para tratamento de HIV,,91
RS051032,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XXXIX -CADEIRA RODAS, PROTESES,AP.AUDIC","ISENÇÃO - Saídas de cadeira de rodas, próteses e aparelhos auditivos, bem como suas partes",,90
RS051033,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,XL -VEIC AUTOM P/PORTADORES DEFICIENCIA",ISENÇÃO - Saídas de veículo automotor novo para portadores de deficiência física/visual/mental severa/autistas,,110
RS051034,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XLI -MEDICAMENTOS QUIMIOTERAPICOS",ISENÇÃO - Operações com medicamentos usados no tratamento de câncer relacionados no Apêndice XL,,95
RS051035,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XLVIII -ENERG ELET,VEIC P/MISSAO DIPLOM",ISENÇÃO - Saídas de energia elétrica e de veículos nacionais a Missões Diplomáticas e Repartições Consulares,,108
RS051036,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,XLIX -DOACAO ENTIDAD GOVERN OU ASSISTEN",ISENÇÃO - Saídas de mercadorias/prestações de serviço de transporte em doação a entidades governamentais /assistenciais,,119
RS051037,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,L -DOACOES EFETUADAS AO GOVERNO ESTADO",ISENÇÃO - Saídas de mercadorias doadas ao Governo do Estado do RS para distribuição gratuita,,92
RS051038,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,LX -ORGAOS DA ADMINIST PUBLICA-SAIDAS",ISENÇÃO - Saídas de mercadorias por órgãos da administração pública para fins de industrialização,,97
RS051039,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,LXI -ORGAOS DA ADMINIST PUBLICA-RETORNO",ISENÇÃO - Saídas em retorno de mercadorias encaminhadas para industrialização por órgãos da administração pública,,113
RS051040,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,LXII -TRAVA-BLOCO P/CONSTR CASA POPULAR",ISENÇÃO - Saídas de trava-blocos para a construção de casas populares promovidas administração pública,,102
RS051041,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,LXIII -PRODUTOS FARMACEUTICOS",ISENÇÃO - Saídas de produtos farmacêuticos promovidas por órgãos ou entidades da Administração Pública,,102
RS051042,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,LXV -PROG RECUP PORTADOR DE DEFICIENCIA",ISENÇÃO - Saídas vinculadas a programa de recuperação de portador de deficiência a instituições públicas estaduais,,114
RS051043,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,LXVII -OBRAS DE ARTESANATO","ISENÇÃO - Saídas de obras de artesanato de artesãos cadastrados na FGTAS, promovidas através de entidades incentivadoras",,120
RS051044,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,LXVIII -INSTIT ASSISTENC SOCIAL/EDUCAC","ISENÇÃO - Saídas de mercadorias de produção própria, por instituições de assist. social/educacional, sem fins lucrativos",,120
RS051045,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,LXIX -VEIC P/FISCALIZACAO DE TE E PM","ISENÇÃO - Saídas internas de veículos, para o Estado do RS,para reequipamento da Fiscalização de Tributos Estaduais e PM",,120
RS051046,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,LXX -DOACAO A SECRETARIA DA EDUCACAO","ISENÇÃO - Saídas internas de doações à rede oficial de ensino, por contribuintes do imposto, à Secretaria da Educação RS",,120
RS051047,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,LXXI -CENTRO FORM DE RH DO SISTEM SENAI","ISENÇÃO - Saídas de mercadorias para o reequipamento dos Centros de Formação de RH do Sistema SENAI, em razão de doação",,119
RS051048,,,,,,SIM,SIM,SIM,,,,,,,,1102016,1012019,"LIVRO I,9,LXXII -DOAÇÃO A SUDENE",ISENÇÃO - Revogada,,18
RS051049,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,LXXIII -VEIC P/CORPOS BOMBEIROS VOLUNT",ISENÇÃO - Saídas internas/desemb.aduaneiro de veículos automotores/máq./equip. para o Corpos de Bombeiros Voluntários,,117
RS051050,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,LXXIV -CAVALOS DOADOS A BRIGADA MILITAR",ISENÇÃO - Saídas internas de cavalos doados à Brigada Militar do RS destinados à utilização em patrulhamento,,108
RS051051,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,LXXV -PROMOFAZ",ISENÇÃO - Saídas e recebimentos de mercadorias adquiridas em licitações/contratações destinadas ao PROMOFAZ,,107
RS051052,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,LXXVI -VEICULOS DE BOMBEIROS","ISENÇÃO - Saídas de veículos de bombeiros para equipar os aeroportos nacionais, adquiridos pelo Ministério da Defesa",,116
RS051053,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,LXXVII -ENERG ELET P/ADM PUBLICA ESTAD","ISENÇÃO - Operações internas de energia elétrica a órgãos da Adm Estadual Direta, Fundações e Autarquias estaduais.",,115
RS051054,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,LXXIX -TAXI","ISENÇÃO - Saídas promovidas por fabricante ou revendedor autorizado, de automóveis novos de passageiros para taxistas",,117
RS051056,,,,,,SIM,SIM,SIM,,,,,,,,1102016,30042019,"LIVRO I,9,LXXXIII -COLETORES ELETRÔNICOS DE VOTOS",ISENÇÃO - Código encerrado,,26
RS051057,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,LXXXIV -PRESERVATIVOS",ISENÇÃO - Operações com preservativos classificados no código 4014.10.00 da NBM/SH-NCM,,86
RS051058,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122028,"LIVRO I,9,LXXXV -EQUIP P/ENERGIAS SOLAR E EOLICA","ISENÇÃO - Operações com equipamentos, partes e peças para energia solar e eólica",,80
RS051059,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,LXXXVI -""FREE SHOPS""","ISENÇÃO - Saídas promovidas/destinadas por/a ""free shops"" instaladas nas zonas primárias dos aeroportos internacionais",,118
RS051060,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,LXXXVII -EQUIP DIDAT,CIENT,MEDICO-HOSP","ISENÇÃO -  Operações que destinem equipamentos didáticos, científicos e médico-hospitalares ao MEC",,98
RS051061,,,,,,SIM,SIM,SIM,,,,,,,,1102016,1062023,"LIVRO I,9,LXXXVIII -OLEO DIESEL P/EMBARC PESQUEIRA","ISENÇÃO - Saídas internas de óleo diesel para embarcações pesqueiras nacionais, por distribuidora de combustível",,112
RS051062,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,LXXXIX-PROJ INT EXPL AGR PEC IND RORAIMA",ISENÇÃO - Saídas a contribuintes do Projeto Integrado de Exploração Agropecuária e Agroindustrial do Estado de Roraima,,118
RS051063,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,XC -ATIVO IMOBILIZADO - EMBRAPA","ISENÇÃO - Saídas de animais à EMBRAPA para fins de inseminação e inovulação com animais de raça, e respectivo retorno",,117
RS051064,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,XCII -DOACOES P/ASSISTENCIA VITIMAS SECA",ISENÇÃO - Saídas de mercadorias/serviços de transporte em doação a administração direta e indireta para vítimas de seca,,119
RS051065,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XXXV -PROGRAMA BEFIEX",ISENÇÃO - Saídas de máq./equip. ao ativo imobilizado de empresa industrial que os tenha adquirido pelo Programa BEFIEX,,118
RS051067,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XCVI-ZONAS PROCESSAMENTO EXPORT-ZPE",ISENÇÃO - Saídas internas de mercadorias e bens previstos na Lei nº 11.508/07 a estabelecimento localizado em ZPE,,113
RS051068,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,XCVII - MENSAGEIRO DA CARIDADE","ISENÇÃO - Saídas de mercadorias pelo Secretariado de Ação Social Arquidiocese de PoA, programa ""Mensageiro da Caridade""",,119
RS051069,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,XCVIII-EQUIP.PRESTACAO SERV.SAUDE","ISENÇÃO - Operações com equipamentos e insumos destinados à prestação de serviços de saúde, relacionados no Apêndice XIX",,120
RS051072,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,CI -IMP.MERC.OU BENS REGIME ESP ADU ADM",ISENÇÃO - Devolução de bem cuja entrada tenha ocorrido sob amparo de regime especial aduaneiro de admissão temporária.,,118
RS051073,,,,,,SIM,SIM,SIM,,,,,,,,1102016,23102020,"LIVRO I,9,CII-VEICULOS P/DEP.POLICIA FEDERAL",ISENÇÃO - Código encerrado,,26
RS051074,,,,,,SIM,SIM,SIM,,,,,,,,1102016,6122019,"LIVRO I,9,CIII -MERCADORIAS EM PENHORA",ISENÇÃO - Código encerrado,,26
RS051075,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CIV-EQUIP MED HOSPIT.P/MINIST.SAUDE",ISENÇÃO - Operações com equipamentos médico-hospitalares destinados ao Ministério da Saúde,,90
RS051079,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CVIII-EMB.VAZIAS DE AGROTOX. E TAMPAS","ISENÇÃO - Operações de devolução impositiva de embalagens vazias de agrotóxicos e respectivas tampas,realizadas sem ônus",,120
RS051080,,,,,,SIM,SIM,SIM,,,,,,,,1102016,23102020,"LIVRO I,9,CIX-VEICULOS P/A POLICIA ROD.FEDERA",ISENÇÃO - Código encerrado,,26
RS051081,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,CX ARRENDAMENTO MERCANTIL","ISENÇÃO - Operações de venda do bem arrendado ao arrendatário, desde que este seja contribuinte do imposto",,106
RS051082,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXI-PROD.ALIM.CONSIDERADOS PERDAS P/","ISENÇÃO - Saídas de produtos alimentícios considerados ""perdas"" a banco de alimentos para pessoas carentes",,106
RS051083,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXII-PROD.ALIM.CONSIDRADOS PERDAS RE",ISENÇÃO - Saídas promovidas por bancos de alimentos a pessoas carentes,,70
RS051085,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CXIV-MEDICAMENTOS","ISENÇÃO - Operações com medicamentos relacionados no RICMS, Livro I, art. 9º, inciso CXIV",,89
RS051086,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CXV - FARMACOS E MEDICAMENTOS P/ORG","ISENÇÃO - Operações com os fármacos e medicamentos relacionados no Apêndice XXIII, a órgãos da administração pública",,116
RS051087,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CXVI - PROG.SEGURANÇA ALIMENTAR E NUTRICIONAL","ISENÇÃO - Saídas de mercadorias/prest.de serviços de transporte, nas doações ao Prog.de Seg. Alimentar e Nutricional",,116
RS051088,,,,,,SIM,SIM,SIM,,,,,,,,1102016,23102020,"LIVRO I,9,CXVII-VEIC.P/O DEP.POLICIA ROD.FED",ISENÇÃO - Código encerrado,,26
RS051090,,,,,,SIM,SIM,SIM,,,,,,,,1102016,7062018,"LIVRO I,9,CXIX-CERVEJAS,REFRIG,SUCOS E AGUA_M",ISENÇÃO - Código encerrado,,26
RS051091,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXX-PROD.FARMAC,INSTRUM E APARELHOS","ISENÇÃO - Saídas internas de mercadorias listadas no RICMS, Lv.I,art.9º,inciso CXX  a Admin.Pública Est.e Legis. e Jud.",,119
RS051092,,,,,,SIM,SIM,SIM,,,,,,,,1102016,1042018,"LIVRO I,9,CXXI -MERC DE PROD PROM POR CO",ISENÇÃO - Revogada,,18
RS051093,,,,,,SIM,SIM,SIM,,,,,,,,1102016,1042019,"LIVRO I,9,CXXII-GUINDASTE MOVEL PORTUARIO,P/A",ISENÇÃO - Código encerrado,,26
RS051094,,,,,,SIM,SIM,SIM,,,,,,,,1102016,12022019,"LIVRO I,9,CXXIII-REPORTO-IMPORT.AT.IMOBILIZ.",ISENÇÃO - Código encerrado,,26
RS051095,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9, CXXIV - MAÇÃS E PERAS","ISENÇÃO - Saídas de maçãs e peras, desde que frescas",,52
RS051096,,,,,,SIM,SIM,SIM,,,,,,,,1102016,30042024,"LIVRO I,9, CXXV - PAO FRANCES",ISENÇÃO - Substituído pelo cód.191 a partir de 01/06/2024.,,58
RS051097,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXXVI -TIJOLOS DE CERAMICA","ISENÇÃO - Saídas internas de tijolos de cerâmica, exceto refratários, classificados no código 6904.10.00 da NBM/SH-NCM",,118
RS051098,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXXVII -SUBVENCAO DE ENERGIA ELETRICA FO","ISENÇÃO - Saídas internas de energia elétrica na parcela da subvenção a consumidores da ""Baixa Renda""",,101
RS051099,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXXVIII -PILHAS E BATERIAS USADAS",ISENÇÃO - Saídas de pilhas e baterias usadas para reciclagem ou disposição final ambientalmente adequada,,104
RS051100,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXXIX-PROD FARMAC DA FIOCRUZ",ISENÇÃO - Saídas de produtos farmacêuticos/fraldas geriátricas da  FIOCRUZ à Farmácia Popular,,93
RS051101,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CXXX-SANDUICHES BIG MAC","ISENÇÃO - Saídas de ""Big Mac"" pela Rede McDonald's, na data do evento ""McDia Feliz",,82
RS051102,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXXXI-EQUIPAMENTOS DE MEDICAO DE VAZAO","ISENÇÃO - Saídas de medidores de vazão,condutivímetros a estab. industriais fabricantes de prod.2202/2203 da NBM/SH-NCM;",,120
RS051103,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,CXXXII-SELOS PARA CONTROLE FISCAL FEDERAL","ISENÇÃO - Saídas de selos destinados ao controle fiscal federal, promovidas pela Casa da Moeda do Brasil",,104
RS051104,,,,,,SIM,SIM,SIM,,,,,,,,1102016,1042019,"LIVRO I,9,CXXXIII-MERC.IMP.S/COB.CAMB.DEP.AFIANCADO",ISENÇÃO - Código encerrado,,26
RS051105,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CXXXIV-REPORTO-SAIDAS INT. AT.IMOB.","ISENÇÃO - Saídas internas de bens relacionados no Apêndice XXVII,  ao ativo imobilizado de empresas do REPORTO",,110
RS051106,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CXXXV-PRODUTOS MANUT.GAS.BR.BOLIVRO IA","ISENÇÃO - Transferências,no território nacional, de bens do Ap.XXVIII, à manutenção do Gasoduto Brasil-Bolívia, pela TBG",,120
RS051107,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,CXXXVI-OPER. COM EMISSAO CDA E WA",ISENÇÃO - Operações de mercadorias com emissão/negociação do Cert. de Depósito Agropec. - CDA e do Warrant Agropec. - WA,,120
RS051108,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CXXXVII-CIMENTO ASFALTICO DE PETROL",ISENÇÃO - Operações com cimento asfáltico de petróleo classificado no código 2713.20.00 da NBM/SH-NCM,,101
RS051109,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9CXXXVIII-PES E PE-AS DEF.,SUB.GAR.,","ISENÇÃO - Saídas de partes/peças defeituosas,em garantia,por oficina autorizada a fabricante de veículos autopropulsados",,120
RS051111,,,,,,SIM,SIM,SIM,,,,,,,,1102016,6122019,"LIVRO I,9, CXL -ATIVO IMOBILIZADO EMPRESA PORTUÁRIA",ISENÇÃO - Código encerrado,,26
RS051112,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CXLI-ONIB,MICROONIB E EMB P TRANSP ESCO","ISENÇÃO - Operações com ônibus, micro-ônibus e embarcações, para transporte escolar, adquiridos por Estados, DF e Munic.",,120
RS051113,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31012019,"LIVRO I,9,CXLII -EQUIP P/SEGP/UTIL XV JOGOS PAN",ISENÇÃO - Código encerrado,,26
RS051114,,,,,,SIM,SIM,SIM,,,,,,,,1102016,6122019,"LIVRO I,9,CXLIII -MAQ E EQUIP P/CONCES PREST SERV",ISENÇÃO - Código encerrado,,26
RS051115,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CXLIV-REAGENTE P DIAGNOST DOENCA CHAGAS","ISENÇÃO - Saídas de reagente para diagnóstico da Doença de Chagas, código 3002.10.29 da NCM, para Administração Pública",,119
RS051116,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXLV-PES/PECAS DEF.,SUBS.GAR..EXC.AT.","ISENÇÃO - Saídas de partes/peças defeituosas, em garantia, por oficina credenciada destinadas ao fabricante",,107
RS051117,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122020,"LIVRO I,9,CXLVI. PROINFO",ISENÇÃO - Código encerrado,,26
RS051118,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXLVII.OLEO COMESTIVEL USADO",ISENÇÃO - Saídas de óleo comestível usado destinado à utilização como insumo industrial,,87
RS051119,,,,,,SIM,SIM,SIM,,,,,,,,1102016,1102016,"LIVRO I,9,CXLVIII",ISENÇÃO - Revogada,,18
RS051122,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I, 9,CLI. GARANTIA-FABR.PROD.AERONAUT.","ISENÇÃO - Saídas de partes/peças defeituosas de produtos aeronáuticos, em garantia, da oficina para o fabricante",,112
RS051123,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I, 9,CLII.GARANTIA-COMER.PROD.AERONAUT.","ISENÇÃO - Saídas de partes/peças defeituosas de produtos aeronáuticos, em garantia, do fabricante para oficina",,110
RS051124,,,,,,SIM,SIM,SIM,,,,,,,,1102016,12022019,"LIVRO I,9,CLIII. PROD.DEST.DEN.,MAL.,FEBRE AM.",ISENÇÃO - Código encerrado,,26
RS051128,,,,,,SIM,SIM,SIM,,,,,,,,1102016,6122019,"LIVRO I,9,CLVII -VEIC COMB E SUAS PARTES",ISENÇÃO - Código encerrado,,26
RS051129,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CLVIII.PNEUS USADOS P/RECICLAGEM","ISENÇÃO - Saídas de pneus usados para reciclagem, tratamento ou disposição final ambientalmente adequada",,104
RS051130,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CLIX.EQUIP.DE SEGURANCA ELETRONICA",ISENÇÃO - Operações/prestações na compra de equip.de segurança eletrônica pelo Depto.Penit. Nac. CNPJ 00.394.494/0008-02,,120
